"SLIC","SLIC_Name","SLIC_Type","SLIC_State","OpTyp","SORT","CAP","SPAN","STRT","Facility.x","Facility.y"
"3870","GREENVILLE","CTR","MS","PKG","L",4139,328,1700,-1.17376589971917,1.09350752849503
"6300","UNION","CTR","MO","PKG","L",3959,328,1700,-1.11084964878385,1.15372797609174
"7241","POCAHANTAS","CTR","AR","PKG","L",2240,328,1700,-1.13823241948804,1.12627570045399
"7031","GONZALES","CTR","LA","PKG","L",3124,328,1700,-1.21178869865314,1.05391917508464
"3911","VICKSBURG","CTR","MS","PKG","L",5216,328,1700,-1.18447609885766,1.07853113915362
"7030","HOUMA","CTR","LA","PKG","L",4727,328,1700,-1.21671731453642,1.04613018620585
"7230","FORREST CITY","CTR","AR","PKG","L",4686,328,1700,-1.1511302073842,1.10992763386057
"5200","DUBUQUE","CTR","IA","PKG","L",3209,328,1700,-1.05658304766519,1.20028573972152
"7240","JONESBORO CENTER","CTR","AR","PKG","L",3494,328,1700,-1.14011476586989,1.11824631293815
"5289","DAVENPORT","HUB","IA","HUB","N",29000,403,2200,-1.06774897495956,1.18829086455441
"6126","ROCK ISLAND","CTR","IL","PKG","L",2550,328,1700,-1.06912032520042,1.18607134126829
"7045","HAMMOND","CTR","LA","PKG","L",4275,328,1700,-1.20369605753164,1.05257523874244
"6309","EARTH CITY","HUB","MO","HUB","N",100000,403,2200,-1.10170591015272,1.15254439418192
"3961","MCCOMB","CTR","MS","PKG","L",4376,328,1700,-1.19428894617615,1.06123413715459
"6140","GALESBURG","CTR","IL","PKG","L",5904,328,1700,-1.07441282011277,1.17823985847582
"6360","FARMINGTON","CTR","MO","PKG","L",3542,328,1700,-1.11340373228697,1.13979073661467
"6390","THREE RIVERS","CTR","MO","PKG","L",4293,328,1700,-1.12605461955223,1.12724580941039
"6302","CRYSTAL CITY","CTR","MO","PKG","L",5084,328,1700,-1.10814885002857,1.14480021687874
"6329","LAMBERT (ST. LOUIS)","ARPT","MO","APT","S",2460,403,300,-1.10092284386652,1.15108519235157
"5580","DULUTH (5482)","CTR","MN","PKG","L",2768,328,1700,-0.987382688931677,1.26278894274605
"7009","NEW ORLEANS AIRPORT","ARPT","LA","APT","T",960,403,1700,-1.20779922453312,1.04413762350694
"6463","Customer Location","CSL","MO","CSL","L",1239999,328,1700,-1.10033010861105,1.1492000856488
"6265","JACKSONVILLE","CTR","IL","PKG","L",2813,328,1700,-1.08762152060339,1.1617374810589
"7019","NEW ORLEANS HUB","HUB","LA","HUB","N",41000,403,2200,-1.20794401022455,1.04265283273694
"3920","JACKSON-METRO","CTR","MS","PKG","P",1079999,403,400,-1.17921395092967,1.0710333886701
"3890","GREENWOOD","CTR","MS","PKG","L",4348,328,1700,-1.16407237729778,1.08576634128418
"7049","EARHART HUB","HUB","LA","HUB","L",4275,328,1700,-1.20701000032034,1.04293534180629
"6319","JEFFERSON AVE","HUB","MO","HUB","P",7004,403,400,-1.10032824508694,1.14838707574287
"4993","BESSEMER (5480)","CTR","MI","PKG","L",3258,328,1700,-1.00261501805196,1.2446696642471
"5384","Customer Location","CSL","WI","CSL","L",840000,328,1700,-1.04638966273956,1.20113323075431
"5380","DODGEVILLE","CTR","WI","PKG","L",3125,328,1700,-1.04626168694806,1.20101645297098
"7040","COVINGTON","CTR","LA","PKG","L",4152,328,1700,-1.20072327921678,1.04724865175746
"7020","HARVEY","CTR","LA","PKG","L",4645,328,1700,-1.20726741112978,1.04073975068577
"3909","JACKSON AIRPORT","ARPT","MS","APT","S",830000,403,300,-1.17735878602419,1.07013423559038
"6220","BELLEVILLE","CTR","IL","PKG","L",5850,328,1700,-1.10079866051868,1.14593194017862
"6200","ALTON","CTR","IL","PKG","L",3307,328,1700,-1.09648439344517,1.1499297512728
"3819","MEMPHIS HUB","HUB","TN","HUB","P",6402,403,400,-1.14290719973488,1.10287691367473
"3861","HERNANDO","CTR","MS","PKG","L",5372,328,1700,-1.14569608810771,1.0995164048169
"3834","Customer Location","CSL","MS","CSL","L",1189999,328,1700,-1.14275824243342,1.10223692377782
"3860","BATESVILLE","CTR","MS","PKG","L",3716,328,1700,-1.15159135287772,1.09309038296226
"7231","BLYTHEVILLE","CTR","AR","PKG","L",2055,328,1700,-1.13202943782409,1.11209329208655
"3809","BARTLETT HUB","HUB","TN","HUB","P",7284,403,400,-1.13898251919423,1.10228360869575
